연도,시도,구분,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
2020 ,서울특별시,자폐성,5431 ,984 ,6415 ,0 ,0 ,0 ,5431 ,984 ,6415 
2020 ,부산광역시,자폐성,1722 ,353 ,2075 ,0 ,0 ,0 ,1722 ,353 ,2075 
2020 ,대구광역시,자폐성,1049 ,199 ,1248 ,0 ,0 ,0 ,1049 ,199 ,1248 
2020 ,인천광역시,자폐성,1398 ,258 ,1656 ,0 ,0 ,0 ,1398 ,258 ,1656 
2020 ,광주광역시,자폐성,736 ,160 ,896 ,0 ,0 ,0 ,736 ,160 ,896 
2020 ,대전광역시,자폐성,904 ,178 ,1082 ,0 ,0 ,0 ,904 ,178 ,1082 
2020 ,울산광역시,자폐성,560 ,110 ,670 ,0 ,0 ,0 ,560 ,110 ,670 
2020 ,세종특별자치시,자폐성,172 ,36 ,208 ,0 ,0 ,0 ,172 ,36 ,208 
2020 ,제주특별자치도,자폐성,522 ,95 ,617 ,0 ,0 ,0 ,522 ,95 ,617 
2020 ,소계,정신,52738 ,50787 ,103525 ,0 ,0 ,0 ,52738 ,50787 ,103525 
2020 ,서울특별시,정신,8438 ,8087 ,16525 ,0 ,0 ,0 ,8438 ,8087 ,16525 
2020 ,부산광역시,정신,4251 ,3998 ,8249 ,0 ,0 ,0 ,4251 ,3998 ,8249 
2020 ,대구광역시,정신,3101 ,2922 ,6023 ,0 ,0 ,0 ,3101 ,2922 ,6023 
2020 ,인천광역시,정신,2304 ,2528 ,4832 ,0 ,0 ,0 ,2304 ,2528 ,4832 
2020 ,광주광역시,정신,1515 ,1605 ,3120 ,0 ,0 ,0 ,1515 ,1605 ,3120 
2020 ,대전광역시,정신,1600 ,1610 ,3210 ,0 ,0 ,0 ,1600 ,1610 ,3210 
2020 ,울산광역시,정신,708 ,744 ,1452 ,0 ,0 ,0 ,708 ,744 ,1452 
2020 ,세종특별자치시,정신,240 ,215 ,455 ,0 ,0 ,0 ,240 ,215 ,455 
2020 ,제주특별자치도,정신,649 ,646 ,1295 ,0 ,0 ,0 ,649 ,646 ,1295 
2020 ,소계,신장,43328 ,29835 ,73163 ,14256 ,10111 ,24367 ,57584 ,39946 ,97530 
2020 ,서울특별시,신장,8051 ,5377 ,13428 ,2532 ,1935 ,4467 ,10583 ,7312 ,17895 
2020 ,부산광역시,신장,3396 ,2292 ,5688 ,1113 ,876 ,1989 ,4509 ,3168 ,7677 
2020 ,대구광역시,신장,2154 ,1474 ,3628 ,745 ,526 ,1271 ,2899 ,2000 ,4899 
2020 ,인천광역시,신장,2646 ,1901 ,4547 ,767 ,554 ,1321 ,3413 ,2455 ,5868 
2020 ,광주광역시,신장,1081 ,763 ,1844 ,388 ,245 ,633 ,1469 ,1008 ,2477 
